Customer_ID,Full_Name,Gender,Email,Address,City,Region,Age,Income,Reg_Date
7,Dylan Robertson,Female,wweeks@yahoo.com,"5132 Deborah Curve
Tranbury",New_York,America,49,120000,2023-09-24
29,Jessica Daniels,Male,nelsonkenneth@hotmail.com,"4230 Anderson Tunnel Apt. 720
West Robert",Volgograd,Europe,24,90000,2017-05-27
39,Kyle Hernandez,Male,hgomez@gmail.com,"96763 Karen Alley
New Erinside",Moscow,Europe,7,200000,2016-03-03
51,Cole Campbell,Male,jasmine56@gmail.com,"8801 Carter Lane
Wilsontown",Kolkata,Asia,59,75000,2023-02-06
75,John Hernandez,Male,victoria13@hotmail.com,"86059 Buchanan Green
New Michael",Kolkata,Asia,20,155000,2023-03-25
25,Drew Robertson,Female,isaac29@hotmail.com,"912 Cole Causeway Apt. 772
North Grantbury",Berlin,Europe,43,15000,2016-12-28
9,Christopher Cameron,Male,hwelch@yahoo.com,"72557 Gray Flat
Lake Kyle",Dushanbe,Asia,24,120000,2023-08-25
17,Heather Odom,Female,crystal07@yahoo.com,"3695 Allison Hills Suite 922
Paulland",Amsterdam,Europe,24,135000,2015-10-10
35,Amber Bryant,Male,ofisher@gmail.com,"973 Cox Tunnel Apt. 598
Fryview",Minsk,Europe,48,30000,2023-03-28
71,Tanya Bowman,Male,knightmichelle@yahoo.com,"998 Patricia Forge
Fitzgeraldchester",Paris,Europe,54,180000,2015-12-20
63,Martha Brown,Male,hooversamantha@yahoo.com,"6458 Kathleen Rapids
Davidfort",Caracas,America,8,190000,2024-01-23
80,John Porter,Female,coxanthony@hotmail.com,"92133 Robinson Rapids
New Alexton",Mexico_City,America,28,55000,2016-08-23
79,Sarah Ayala,Female,john11@hotmail.com,"4684 Martin Ranch Suite 773
New Lynnland",Sao_Paulo,America,27,55000,2020-04-01
28,Nicole Wood,Male,johnsonmary@yahoo.com,"828 Ward Estates Apt. 357
Johnsonmouth",Moscow,Europe,25,195000,2020-03-24
54,Christopher Washington,Male,margaretjohnston@gmail.com,"117 John Ridge Apt. 114
North Jorge",Saratov,Europe,57,195000,2020-02-18
36,Sabrina Manning,Female,georgeshannon@gmail.com,"1177 Colleen Divide Suite 210
Port Jack",Casablanca,Africa,22,155000,2019-01-02
51,Angela Maxwell,Female,mendezkayla@hotmail.com,"630 Larry Prairie Suite 432
West Lisaland",Manila,Asia,20,70000,2020-02-21
8,Anna Andrade,Female,powellsamantha@gmail.com,"699 Murphy Camp
Quinnchester",Madrid,Europe,54,60000,2015-07-19
23,Anthony Robinson,Female,frivas@hotmail.com,"8646 Robert Crossroad Apt. 973
Gordonburgh",Los_Angeles,America,56,125000,2016-09-19
13,Justin Wheeler,Male,alexander57@yahoo.com,"697 Steve Freeway Suite 246
Lindseyfurt",Jakarta,Asia,30,200000,2023-09-28
80,Richard Potter MD,Male,perkinsjason@yahoo.com,"33024 Paul Square Apt. 374
Brianborough",London,Europe,13,140000,2020-10-05
29,Kimberly Williams,Male,ashleywatson@yahoo.com,"81655 Colleen Curve
East Michael",Kuala_Lumpur,Asia,13,175000,2013-03-18
15,Karen Howard,Female,maysmonica@yahoo.com,"30707 Eric Lake Apt. 150
New Carlos",Kolkata,Asia,50,180000,2019-08-20
28,Gina Roberts,Male,robert99@gmail.com,"994 April Ville Suite 445
Terriport",Moscow,Europe,16,140000,2022-01-11
49,Tanya Shields,Female,joseph79@hotmail.com,"1072 Esparza Fork Apt. 662
North Jessemouth",Madrid,Europe,26,130000,2018-01-19
48,Sarah Walters,Female,uadams@hotmail.com,"Unit 0249 Box 9323
DP",Karachi,Asia,19,130000,2019-01-26
68,Gabriel Rodriguez,Male,clintonhicks@hotmail.com,"902 Olivia Brooks
South George",Chicago,America,17,180000,2024-07-07
63,Scott Brewer,Male,gabrielcrane@yahoo.com,"531 Lawson Harbor Apt. 353
Shannonmouth",Kolkata,Asia,46,125000,2022-11-10
67,Christopher Hernandez,Female,joseph91@yahoo.com,"2022 Walton Drive Apt. 513
Port George",Moscow,Europe,29,180000,2013-10-04
17,Nicholas Harris,Male,scott20@yahoo.com,"93425 Jonathan Parks Suite 485
North Tanyaport",Chicago,America,43,55000,2015-08-27
84,Donna Rojas,Male,thomastorres@yahoo.com,"PSC 6413, Box 1273
AP",Berlin,Europe,53,175000,2019-11-03
74,Natalie Elliott,Female,ricardofrazier@gmail.com,"558 Clark Stravenue
Mooremouth",London,Europe,37,100000,2018-04-07
44,Janet Hamilton,Male,juanvargas@hotmail.com,"890 Hernandez Junctions
Mendezberg",Manila,Asia,49,135000,2016-07-09
62,Jacob Johnston,Female,xserrano@hotmail.com,"0285 Tabitha Throughway
Rojasberg",New_York,America,19,55000,2017-11-29
26,Stephen Palmer,Male,qreeves@yahoo.com,"409 Tony Mountains Apt. 387
Matthewtown",Karachi,Asia,7,20000,2018-08-19
31,Lauren Morales,Male,thompsonryan@hotmail.com,"188 Carol Trail Apt. 599
Edwardsmouth",Auckland,Pacific,6,50000,2013-11-11
59,George Carpenter,Male,troy50@yahoo.com,"8563 Rivas Stream Apt. 827
Harrisburgh",Perth,Australia,47,90000,2019-06-09
56,Kathleen Wallace,Male,susanharmon@gmail.com,"860 Rowe Crossroad
Petersenfort",Copenhagen,Europe,49,145000,2021-12-01
11,Amanda Mitchell,Female,espinozazachary@yahoo.com,"4569 James Track
South Josehaven",Kolkata,Asia,53,15000,2017-06-12
54,Pamela Gonzales,Female,simmonsdouglas@gmail.com,"797 Anthony Wells Suite 122
Yatesmouth",Kolkata,Asia,31,45000,2022-07-28
29,Jennifer Lyons,Female,erica75@hotmail.com,"368 Dale Knolls
North Kelly",Dar_es_Salaam,Africa,45,75000,2013-01-20
47,Daniel Pratt,Male,wlopez@gmail.com,"781 Robertson Views Apt. 886
Carterburgh",Karachi,Asia,20,50000,2013-02-26
78,Benjamin Gill,Female,wesleycombs@hotmail.com,"5524 Mary Prairie
Lake Mary",Amsterdam,Europe,9,175000,2016-04-05
52,Erin Larson,Male,nsmith@hotmail.com,"103 Michael Prairie
South Kayla",Sao_Paulo,America,28,140000,2023-11-02
44,Michael Green,Male,sking@yahoo.com,"30564 Ayers Harbor
Wongborough",Mexico_City,America,8,10000,2017-08-11
25,Amanda Stout,Male,idrake@gmail.com,"115 Alicia Centers Apt. 731
Jodybury",Amsterdam,Europe,29,165000,2023-05-22
60,Courtney Gibson,Male,molly45@gmail.com,"18053 Brian Branch
Gabrielleville",Sao_Paulo,America,9,80000,2013-04-11
67,Michael Stanley,Female,meghanwhitney@gmail.com,"769 Johnson Plains
Julieshire",Hebron,Asia,18,30000,2016-03-01
14,Brittany Williams,Female,spearsnatalie@yahoo.com,"3706 Sanchez Shoals Suite 115
Joseside",Jakarta,Asia,47,200000,2018-04-12
37,Nicole Chavez,Female,elizabethwhite@gmail.com,"0929 Ruiz Camp
West Adam",Irkutsk,Asia,27,35000,2013-03-06
86,Rebecca Chavez,Female,gardnercameron@hotmail.com,"437 Phillips Points Apt. 187
Port Lori",Kolkata,Asia,37,60000,2024-06-22
72,Michelle Dunlap,Male,ryan07@hotmail.com,"399 Stuart Manors Suite 579
Jamesport",New_York,America,57,160000,2022-08-23
20,Tammy Russell,Male,gonzaleztheresa@yahoo.com,"72714 Eugene Forest Suite 754
New Janet",Berlin,Europe,52,185000,2019-01-23
3,Kristina George,Male,amandahammond@hotmail.com,"6867 Young Wells
East Derekfurt",Douala,Africa,46,185000,2015-03-01
79,Melissa Farley,Male,laura27@yahoo.com,"736 Perry Course Apt. 175
East Ashleyton",Shanghai,Asia,54,50000,2014-07-07
23,Anne Waters,Female,stevenflores@yahoo.com,"99833 Larry Prairie
Robertshaven",Chicago,America,59,180000,2017-04-23
28,Justin Warren,Female,jamesmartin@yahoo.com,"6784 Montoya Freeway Suite 717
East Justinmouth",Paris,Europe,45,75000,2014-10-06
61,Christopher Wallace,Male,ejohnson@hotmail.com,"3224 Nelson River
West John",London,Europe,22,75000,2020-05-17
70,Jason Kline,Female,staciereynolds@hotmail.com,"Unit 7870 Box 0372
DP",Podgorica,Europe,28,150000,2014-12-11
41,Paul Howell,Male,nealtiffany@hotmail.com,"2782 Green Square
Maddoxborough",Rome,Europe,30,75000,2021-10-03
92,Robert Wagner,Male,marilyn50@gmail.com,"USCGC Frazier
FP",Paris,Europe,19,20000,2017-08-07
38,Austin Martinez,Female,michael84@hotmail.com,"83015 Erika Forge Apt. 709
North Mark",Berlin,Europe,55,10000,2021-04-15
